season,episode,title,rating,votes,episode_year
1,0,Unaired Pilot,8.7,13600,2010
1,1,A Study in Pink,8.9,36937,2010
1,2,The Blind Banker,7.9,31925,2010
1,3,The Great Game,9,32418,2010
2,1,A Scandal in Belgravia,9.4,46809,2012
2,2,The Hounds of Baskerville,8.3,30367,2012
2,3,The Reichenbach Fall,9.6,44148,2012
3,0,Many Happy Returns,8.4,13563,2013
3,1,The Empty Hearse,8.8,34058,2014
3,2,The Sign of Three,8.9,31229,2014
3,3,His Last Vow,9.2,34045,2014
4,0,The Abominable Bride,8,37876,2016
4,1,The Six Thatchers,7.6,27938,2017
4,2,The Lying Detective,9.1,31099,2017
4,3,The Final Problem,8.2,31622,2017
