season,episode,title,rating,votes,episode_year
1,1,Kassa,7.4,24421,2022
1,2,That Would Be Me,7.3,22097,2022
1,3,Reckoning,8.6,23987,2022
1,4,Aldhani,7.8,20602,2022
1,5,The Axe Forgets,7.6,19772,2022
1,6,The Eye,9.1,26310,2022
1,7,Announcement,8.1,19442,2022
1,8,Narkina 5,8.2,19534,2022
1,9,Nobody's Listening!,8.6,19995,2022
1,10,One Way Out,9.5,29995,2022
1,11,Daughter of Ferrix,8.4,18886,2022
1,12,Rix Road,9.2,23603,2022
2,1,One Year Later,7.8,18296,2025
2,2,Sagrona Teema,7.4,17315,2025
2,3,Harvest,8.5,19081,2025
2,4,Ever Been to Ghorman?,7.7,15704,2025
2,5,I Have Friends Everywhere,8.1,15766,2025
2,6,What a Festive Evening,8.6,17329,2025
2,7,Messenger,8.2,16917,2025
2,8,Who Are You?,9.7,32029,2025
2,9,Welcome to the Rebellion,9.6,27826,2025
2,10,Make It Stop,9.5,22509,2025
2,11,Who Else Knows?,9.3,20550,2025
2,12,"Jedha, Kyber, Erso",9.4,21949,2025
